,Rk,Player,Tm,Location,Opp,Result,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Evaluation
0,1,Joel Embiid,PHI,nan,CHI,W,32,9,14,0.643,0,3,0.0,12,14,0.857,1,11,12,3,1,4,2,4,30,29.3,0
1,2,John Wall,WAS,nan,MIA,L,35,9,16,0.563,1,6,0.167,7,10,0.7,1,2,3,9,1,3,3,4,26,23.3,0
2,3,Nik Stauskas,POR,nan,LAL,W,27,7,11,0.636,5,8,0.625,5,5,1.0,0,2,2,2,1,0,0,1,24,21.7,0
3,4,Josh Richardson,MIA,@,WAS,W,38,8,21,0.381,5,11,0.455,7,8,0.875,2,2,4,5,1,1,2,1,28,20.9,0
4,5,Ben Simmons,PHI,nan,CHI,W,33,5,8,0.625,0,0,,3,3,1.0,1,12,13,11,1,2,3,0,13,20.8,0
5,6,Damian Lillard,POR,nan,LAL,W,35,9,21,0.429,2,7,0.286,8,8,1.0,1,5,6,4,1,1,3,0,28,20.6,0
6,7,LeBron James,LAL,@,POR,L,37,9,16,0.563,0,4,0.0,8,9,0.889,2,10,12,6,1,0,6,3,26,20.4,0
7,8,Zach LaVine,CHI,@,PHI,L,32,11,19,0.579,2,7,0.286,6,7,0.857,0,5,5,3,0,3,5,5,30,19.4,0
8,9,Rodney McGruder,MIA,@,WAS,W,34,7,12,0.583,3,7,0.429,3,3,1.0,1,7,8,6,0,1,2,5,20,18.1,0
9,10,Bobby Portis,CHI,@,PHI,L,33,8,15,0.533,3,6,0.5,1,2,0.5,2,9,11,2,1,1,0,4,20,17.9,0
10,11,JaVale McGee,LAL,@,POR,L,21,5,6,0.833,0,0,,3,4,0.75,3,5,8,1,1,3,0,3,13,16.6,0
11,12,Josh Hart,LAL,@,POR,L,27,8,12,0.667,3,5,0.6,1,3,0.333,0,4,4,1,3,2,2,5,20,16.3,0
12,13,Robert Covington,PHI,nan,CHI,W,29,6,14,0.429,4,11,0.364,4,4,1.0,0,5,5,2,2,1,2,2,20,15.4,0
13,14,Otto Porter,WAS,nan,MIA,L,33,3,7,0.429,0,0,,3,4,0.75,2,9,11,0,3,3,0,1,9,13.7,0
14,15,Ryan Arcidiacono,CHI,@,PHI,L,28,3,4,0.75,2,3,0.667,0,0,,0,4,4,8,0,0,0,0,8,13.2,0
15,16,Derrick Jones,MIA,@,WAS,W,23,5,10,0.5,1,2,0.5,6,9,0.667,4,1,5,0,1,0,0,5,17,12.9,0
16,17,Landry Shamet,PHI,nan,CHI,W,29,4,7,0.571,4,7,0.571,0,0,,0,4,4,1,2,1,0,1,12,12.9,0
17,18,Evan Turner,POR,nan,LAL,W,21,5,8,0.625,0,0,,3,4,0.75,1,2,3,6,2,0,3,2,13,12.7,0
18,19,Jeff Green,WAS,nan,MIA,L,32,6,12,0.5,2,4,0.5,3,3,1.0,1,3,4,1,1,2,2,3,17,12.5,0
19,20,Jusuf Nurkic,POR,nan,LAL,W,17,7,14,0.5,0,1,0.0,2,2,1.0,6,3,9,0,2,0,2,4,16,12.5,0
21,21,Brandon Ingram,LAL,@,POR,L,27,7,15,0.467,0,4,0.0,2,4,0.5,1,3,4,1,2,2,1,0,16,12.2,0
22,22,Rajon Rondo,LAL,@,POR,L,31,6,13,0.462,1,2,0.5,0,0,,0,4,4,11,1,0,3,6,13,10.8,0
23,23,Bradley Beal,WAS,nan,MIA,L,27,7,16,0.438,2,7,0.286,4,6,0.667,0,1,1,2,1,0,1,5,20,10.5,0
24,24,CJ McCollum,POR,nan,LAL,W,31,6,17,0.353,3,6,0.5,6,6,1.0,1,4,5,1,0,0,2,4,21,10.5,0
25,25,Dario Saric,PHI,nan,CHI,W,28,4,12,0.333,2,6,0.333,3,3,1.0,4,6,10,3,1,0,3,2,13,10.1,0
26,26,Zach Collins,POR,nan,LAL,W,26,3,4,0.75,0,1,0.0,0,0,,1,5,6,2,0,6,1,5,6,9.2,0
27,27,Markelle Fultz,PHI,nan,CHI,W,32,5,15,0.333,1,3,0.333,1,2,0.5,3,1,4,5,2,0,1,2,12,9.2,0
28,28,Kelly Olynyk,MIA,@,WAS,W,15,4,6,0.667,1,2,0.5,0,0,,2,2,4,1,0,1,0,2,9,9.0,0
29,29,Maurice Harkless,POR,nan,LAL,W,18,3,5,0.6,1,2,0.5,0,0,,2,4,6,2,0,3,1,3,7,8.6,0
30,30,Amir Johnson,PHI,nan,CHI,W,15,6,9,0.667,0,1,0.0,1,1,1.0,1,2,3,1,0,0,1,4,13,8.5,0
31,31,Dwyane Wade,MIA,@,WAS,W,26,4,11,0.364,0,2,0.0,1,2,0.5,2,6,8,4,2,0,3,1,9,7.1,0
32,32,Jabari Parker,CHI,@,PHI,L,25,7,16,0.438,1,4,0.25,0,0,,1,4,5,1,1,0,2,3,15,7.0,0
33,33,Antonio Blakeney,CHI,@,PHI,L,30,6,16,0.375,1,3,0.333,2,3,0.667,0,5,5,2,0,0,1,2,15,6.9,0
34,34,Hassan Whiteside,MIA,@,WAS,W,28,3,6,0.5,0,0,,3,5,0.6,4,6,10,0,0,1,2,5,9,6.5,0
35,35,Kyle Kuzma,LAL,@,POR,L,28,5,15,0.333,1,7,0.143,4,5,0.8,0,5,5,0,1,0,1,3,15,6.4,0
36,36,Austin Rivers,WAS,nan,MIA,L,25,4,7,0.571,0,3,0.0,1,2,0.5,0,0,0,2,0,1,0,3,9,6.2,0
37,37,Markieff Morris,WAS,nan,MIA,L,24,3,8,0.375,2,3,0.667,3,4,0.75,0,5,5,2,0,2,3,4,11,5.9,0
38,38,T.J. McConnell,PHI,nan,CHI,W,4,1,1,1.0,0,0,,2,2,1.0,0,0,0,3,0,0,0,0,4,5.8,0
39,39,Kelly Oubre,WAS,nan,MIA,L,20,2,8,0.25,0,3,0.0,5,6,0.833,2,4,6,0,0,1,1,1,9,5.7,0
40,40,J.J. Redick,PHI,nan,CHI,W,24,4,11,0.364,1,3,0.333,1,1,1.0,1,2,3,1,1,0,1,1,10,5.5,0
42,41,Tomas Satoransky,WAS,nan,MIA,L,14,1,2,0.5,0,0,,2,2,1.0,0,3,3,3,0,1,1,2,4,4.9,0
